"w [mm]","ang_deg(S(FloquetPort1:1,FloquetPort1:1)) [deg] - Freq='8.4GHz' h='1.1mm'"
4,23.1670638767312
4.5,22.731983220423
5,22.2526014269418
5.5,21.4912040353389
6,20.4211892153543
6.1,20.2478712844352
6.2,19.9372674861026
6.3,19.6882432798884
6.4,19.420743263592
6.5,19.1344329628809
6.6,18.7907148574401
6.7,18.3645304725236
6.8,17.87484243169
6.9,17.5278160134946
7,17.094709561232
7.1,16.5508262926277
7.2,15.9581896720735
7.3,15.368884911561
7.4,14.6008798985547
7.5,13.8070110693189
7.6,13.0091543768164
7.7,12.1384211278877
7.8,10.9736612232922
7.9,10.2700792560446
8,8.45403512095446
8.1,7.49599583308835
8.2,5.82830800754202
8.3,4.17665744333217
8.4,2.10911817093122
8.5,-0.660625620933034
8.6,-2.752692449346
8.7,-6.27811531677455
8.8,-10.5277332825986
8.9,-16.4113910380276
9,-22.8539026141286
9.1,-32.7213481952699
9.2,-44.7815481613524
9.3,-62.8564568403911
9.4,-86.9142884582902
9.5,-123.341596909601
9.6,-163.709499083745
9.7,159.703994979974
9.8,131.733016048391
9.9,107.845925268098
10,95.919437549528
10.1,85.6688407682764
10.2,77.3441226030123
10.3,71.8910716780293
10.4,66.9836527707412
10.5,63.0540082250904
10.6,60.2529553493946
10.7,57.3248864375216
10.8,55.5421133847415
10.9,53.4712965855098
11,52.0397507386943
11.1,50.8919013671064
11.2,49.8452818564936
11.3,49.0175644352279
11.4,47.9349638067584
11.5,47.284472825307
11.6,46.7154405676407
11.7,45.9683975482793
11.8,45.4240713474507
11.9,44.9702684357529
12,44.4705631606382
12.1,43.9607664320464
12.2,43.5157821145793
12.3,43.1748414157786
12.4,42.7195478867071
12.5,42.4202554155824
12.6,42.1649277830598
12.7,41.9004524542299
12.8,41.5749154213706
12.9,41.3628277692009
13,41.0717636262747
13.1,40.9238337653947
13.2,40.6959793101037
13.3,40.5595100469572
13.4,40.2901268266402
13.5,40.1537173056109
13.6,39.9752335248195
13.7,39.8057817044565
13.8,39.6676566699755
13.9,39.4647597787669
14,39.3589369309162
